invests
100
[ 100.03081179]
[ 100.41860399]
[ 101.02924702]
[ 102.74015299]
[ 102.97257204]
[ 104.24309755]
[ 103.10216391]
[ 102.6450691]
[ 102.72056729]
[ 101.90384056]
[ 101.7912408]
[ 101.71279648]
[ 102.14812002]
[ 101.90421992]
[ 101.32580746]
[ 100.24128411]
[ 99.66238921]
[ 100.89682295]
[ 100.16374502]
[ 100.16090369]
[ 100.38893918]
[ 100.66646523]
[ 100.43999539]
[ 100.75283373]
[ 101.5400724]
[ 101.24815659]
[ 102.54495987]
[ 103.53444925]
[ 103.63281266]
[ 103.76513521]
[ 103.36079152]
[ 102.82492723]
[ 103.09560783]
[ 103.95373306]
[ 101.76029161]
[ 98.51912809]
[ 94.63612542]
[ 93.35645619]
[ 97.00051895]
[ 94.69953351]
[ 94.64192152]
[ 95.44284641]
[ 98.35174144]
[ 100.15088735]
[ 100.03436794]
[ 101.59172805]
[ 104.13995878]
[ 105.60764744]
[ 106.16503986]
[ 105.69080066]
[ 106.12481463]
[ 107.48653521]
[ 106.55889585]
[ 106.83250026]
[ 108.58773033]
[ 109.08351844]
[ 107.73978081]
[ 107.5190605]
[ 107.15747556]
[ 107.10756235]
[ 104.35852998]
[ 104.48718872]
[ 106.4803399]
[ 106.27057409]
[ 104.77075049]
[ 102.88892834]
[ 103.25944763]
[ 102.43630701]
[ 101.54087533]
[ 101.46730024]
[ 101.33804589]
[ 102.03447446]
[ 101.55325191]
[ 103.06159936]
[ 102.59270206]
[ 102.56495356]
[ 102.71091501]
[ 102.11258127]
[ 103.81046555]
[ 102.67789304]
[ 102.87470267]
[ 103.13812968]
[ 104.35928856]
[ 104.40624782]
[ 104.91085615]
[ 106.15654849]
[ 105.86773419]
[ 106.24440962]
[ 106.12412518]
[ 106.08723414]
[ 105.04516795]
[ 105.20384867]
[ 104.86424161]
[ 103.3971515]
[ 102.23834189]
[ 103.762027]
[ 103.9011901]
[ 102.24860199]
[ 102.36356745]
[ 101.97502264]
[ 102.10110329]
[ 101.97648842]
[ 101.98965861]
[ 102.05020146]
[ 101.57658677]
[ 102.66148297]
[ 103.80286745]
[ 102.31085414]
[ 104.41085287]
[ 105.14576953]
[ 105.83261276]
[ 105.01357574]
[ 105.25000194]
[ 103.20575566]
[ 103.69655681]
[ 104.79766504]
[ 103.29829348]
[ 104.87567828]
[ 103.00918275]
[ 103.81042961]
[ 104.7256988]
[ 103.44115944]
[ 103.60678901]
[ 103.8329954]
[ 104.93671551]
[ 105.69957349]
[ 104.70473829]
[ 103.10236514]
[ 103.30983041]
[ 101.95488101]
[ 99.53850516]
[ 98.45966955]
[ 98.54368246]
[ 99.31259897]
[ 101.8554668]
[ 103.55603606]
[ 105.84213063]
[ 105.89841975]
[ 107.15143309]
[ 107.70813175]
[ 105.56684543]
[ 107.24392397]
[ 108.76081803]
[ 109.95531583]
[ 110.56321228]
[ 107.89178814]
[ 107.93963091]
[ 110.00139711]
[ 110.55052837]
[ 110.38200456]
[ 112.46041314]
[ 110.86865565]
[ 110.79508098]
[ 110.7741462]
[ 109.41149552]
[ 111.5469945]
[ 109.73454693]
[ 107.95539462]
[ 108.46144466]
[ 108.46426832]
[ 110.03203225]
[ 111.41969454]
[ 111.91437421]
[ 110.65859008]
[ 110.86592203]
[ 111.77363309]
[ 114.44153472]
[ 113.97488638]
[ 113.57750815]
[ 113.20327032]
[ 113.10317238]
[ 111.83188043]
[ 112.39689907]
[ 112.41441104]
[ 114.25750157]
[ 114.40175904]
[ 114.61229515]
